date,promo_name,promo_level
2016/1/2,,
2016/1/6,服饰清仓 300-10,
2016/1/13,,
2016/1/17,年货节+聚划算 300-10 单品包邮,S
2016/1/22,,
2016/1/26,,
2016/1/31,,年廿二
2016/2/1,春节不打烊+300-10,年廿三
2016/2/5,春节不打烊+300-10,年廿七
2016/2/9,春节不打烊+300-10,年初二
2016/2/12,春节不打烊+300-10,年初五
2016/2/16,,年初九
2016/2/23,,
2016/2/27,开学季（预热）,
2016/3/4,女王节（预热）,
2016/3/8,女王节,S
2016/3/11,,
2016/3/15,,
2016/3/19,跑步节（预热）,
2016/3/20,跑步节,A
2016/3/24,新风尚 预热,
2016/3/28,新风尚 300-20活动,S
2016/4/3,,
2016/4/7,,
2016/4/10,出游季,A
2016/4/14,,
2016/4/18,,
2016/4/21,,
2016/4/25,男人节正式300-20,S
2016/4/29,,
2016/5/2,,
2016/5/6,,
2016/5/13,,
2016/5/17,,
2016/5/22,儿童节预热,
2016/5/26,儿童节300-10,A
2016/5/31,,
2016/6/1,,
2016/6/5,,
2016/6/9,家庭狂欢无coupon,
2016/6/12,,
2016/6/16,年中促预热,
2016/6/23,,
2016/6/27,,
2016/6/30,,
2016/7/4,,
2016/7/8,,
2016/7/11,,
2016/7/15,718运动会预热,
2016/7/19,718运动会,S
2016/7/20,,
2016/7/24,,
2016/7/28,,
2016/8/3,,
2016/8/7,,
2016/8/10,,
2016/8/14,超级运动会预热,
2016/8/18,,
2016/8/21,,
2016/8/25,秋冬新风尚正式,S
2016/8/29,,
2016/9/2,,
2016/9/6,99聚划算预热,
2016/9/13,,
2016/9/17,国庆狂欢节300-10,
2016/9/22,,
2016/9/26,,
2016/10/2,,
2016/10/6,,
2016/10/13,,
2016/10/17,,
2016/10/22,,
2016/10/26,,
2016/10/31,,
2016/11/3,,
2016/11/7,,
2016/11/10,,
2016/11/14,,
2016/11/18,,
2016/11/21,,
2016/11/25,,
2016/11/29,,
2016/12/4,,
2016/12/8,聚划算预热,
2016/12/11,聚划算预热,
2016/12/15,,
2016/12/19,,
2016/12/20,Tribord保暖季,J
2016/12/24,,
2016/12/28,,
2017/1/3,,
2017/1/7,年货节预热,
2017/1/10,年货节300-10,S
2017/1/14,,
2017/1/18,年廿一,
2017/1/21,年廿四,
2017/1/25,年廿八,
2017/1/29,年初二,
2017/2/4,年初八,
2017/2/8,年初十二,
2017/2/11,开学季预热,
2017/2/15,开学季300-10,A
2017/2/19,,
2017/2/20,,
2017/2/24,,
2017/2/28,钓鱼JHS主题团,J
2017/3/1,钓鱼JHS主题团,J
2017/3/5,女王节预热,
2017/3/9,,
2017/3/12,,
2017/3/16,自行车聚划算主题团,J
2017/3/23,新风尚,S
2017/3/27,跑步节/铁人三项聚划算,J
2017/3/30,,
2017/4/2,,
2017/4/6,游泳JHS品牌团,J
2017/4/13,户外出游季300-10,A
2017/4/17,,
2017/4/22,男人节预热,
2017/4/26,男人节,S
2017/5/3,Domyos健身聚划算品牌团,J
2017/5/7,,
2017/5/10,Quechua防晒季聚划算品牌团,J
2017/5/14,,
2017/5/18,亲子节预热,
2017/5/21,亲子节（儿童节）天猫&JHS,A
2017/5/25,,
2017/5/29,,
2017/6/4,66聚划算预热,
2017/6/8,,
2017/6/11,,
2017/6/15,6.18 年中促预热,
2017/6/19,6.18 年中促,
2017/6/20,6.18 年中促,
2017/6/24,,
2017/6/28,,
2017/7/1,,
2017/7/5,Quechua亲子聚划算品牌团,J
2017/7/9,,
2017/7/12,,
2017/7/16,TMALL 运动会&JHS,S
2017/7/23,,
2017/7/27,,
2017/7/30,游泳季,A
2017/8/2,,
2017/8/6,,
2017/8/13,,
2017/8/17,,
2017/8/22,,
2017/8/26,新风尚预热,
2017/8/31,,
2017/9/3,,
2017/9/7,99品牌盛典预热,
2017/9/10,99品牌盛典,S
2017/9/14,quehcua聚划算品牌团,J
2017/9/18,kalenji&Domyos聚划算品牌团,J
2017/9/21,,
2017/9/25,,
2017/9/29,,
2017/10/1,,
2017/10/5,,
2017/10/9,Kalenji 聚划算品牌团,J
2017/10/12,,
2017/10/16,quechua保暖季团,J
2017/10/23,tribord抓绒季团,J
2017/10/27,,
2017/10/30,,
2017/11/4,,
2017/11/8,,
2017/11/11,双十一,S+
2017/11/15,,
2017/11/19,,
2017/11/20,,
2017/11/24,,
2017/11/28,火拼周 聚划算&品牌OUTLETS,J
2017/12/3,,
2017/12/7,,
2017/12/10,,
2017/12/14,Trekking聚划算,J
2017/12/18,Winter sports聚划算,J
2017/12/21,,
2017/12/25,,
2017/12/29,暖衣迎新活动300-10,B
2018/1/4,,
2018/1/8,天猫冰雪节 300-10,B
2018/1/11,,
2018/1/15,hiking 聚划算,J
2018/1/19,,
2018/1/20,,
2018/1/24,"年货节 300-10,500-30",S
2018/1/28,"年货节 300-10,500-30",S
2018/2/3,,
2018/2/7,年二十二,
2018/2/10,年二十五,
2018/2/14,年二十九,
2018/2/18,初三,
2018/2/21,初六,
2018/2/25,初十-上新聚划算,J
2018/3/2,初十五,
2018/3/6,女王节预热,预热
2018/3/13,,
2018/3/17,,
2018/3/22,,
2018/3/26,新风尚 300-10 500-30,S
2018/3/31,跑步团,J
2018/4/1,跑步团,J
2018/4/5,,
2018/4/9,,
2018/4/12,,
2018/4/16,出游季200-10 300-20 500-30,A
2018/4/23,男人节预热,
2018/4/27,,
2018/4/30,,
2018/5/4,,
2018/5/8,户外出行团/天猫焕新预热,J
2018/5/11,天猫焕新,B
2018/5/15,网羽乒团,J
2018/5/19,儿童节预热,
2018/5/20,儿童节,A
2018/5/24,瑜伽团,J
2018/5/28,,
2018/6/3,年中促,S+
2018/6/7,年中促,S+
2018/6/10,年中促,S+
2018/6/14,年中促,S+
2018/6/18,年中促,S+
2018/6/21,,
2018/6/25,,
2018/6/29,,
2018/7/2,water2天品牌团,B
2018/7/6,,
2018/7/13,,
2018/7/17,,
2018/7/22,,
2018/7/26,天猫运动会预热,
2018/7/31,天猫运动会3天品牌团,S
2018/8/1,,
2018/8/5,游泳2天品牌团,B
2018/8/9,,
2018/8/12,山水大自然,B
2018/8/16,,
2018/8/23,天猫新风尚,S
2018/8/27,健身上新,
2018/8/30,开学季,A
2018/9/4,,
2018/9/8,9.9天猫盛典预热,
2018/9/11,,
2018/9/15,,
2018/9/19,,
2018/9/20,,
2018/9/24,,
2018/9/28,秋冬保暖,B
2018/10/4,,
2018/10/8,秋冬运动尚新,B
2018/10/11,理想生活亲子趴,B
2018/10/15,跑步品牌团,B
2018/10/19,,
2018/10/20,,
2016/1/1,,
2016/1/5,,
2016/1/9,服饰清仓+运动户外年货节 300-10,
2016/1/10,服饰清仓+运动户外年货节 300-10,
2016/1/14,,
2016/1/18,年货节+聚划算 300-10 单品包邮,S
2016/1/21,年货节 300-10,S
2016/1/25,,
2016/1/29,,
2016/2/2,春节不打烊+300-10,年廿四
2016/2/6,春节不打烊+300-10,年廿八
2016/2/11,春节不打烊+300-10,年初四
2016/2/15,,年初八
2016/2/19,,年初十二
2016/2/20,,年初十三
2016/2/24,,
2016/2/28,开学季（预热）,
2016/3/3,女王节（预热）,
2016/3/7,女王节,S
2016/3/12,,
2016/3/16,,
2016/3/23,新风尚 预热,
2016/3/27,新风尚 300-20活动,S
2016/3/30,,
2016/4/4,,
2016/4/8,出游季预热,
2016/4/13,,
2016/4/17,,
2016/4/22,男人节预热,
2016/4/26,男人节正式300-21,S
2016/5/1,,
2016/5/5,,
2016/5/9,,
2016/5/10,,
2016/5/14,,
2016/5/18,,
2016/5/21,儿童节预热,
2016/5/25,儿童节300-10,A
2016/5/29,,
2016/6/2,,
2016/6/6,66聚划算无coupon,
2016/6/11,,
2016/6/15,年中促预热,
2016/6/19,6.18 年中促,S+
2016/6/20,6.18 年中促,S+
2016/6/24,,
2016/6/28,,
2016/7/3,,
2016/7/7,,
2016/7/12,,
2016/7/16,718运动会预热,
2016/7/23,,
2016/7/27,,
2016/7/30,,
2016/8/4,,
2016/8/8,,
2016/8/13,超级运动会预热,
2016/8/17,,
2016/8/22,,
2016/8/26,秋冬新风尚正式,S
2016/8/31,,
2016/9/1,,
2016/9/5,99聚划算预热,
2016/9/9,99聚划算300-10,S
2016/9/10,99聚划算300-10,S
2016/9/14,国庆狂欢节预热,
2016/9/18,,
2016/9/21,,
2016/9/25,,
2016/9/29,,
2016/10/1,,
2016/10/5,,
2016/10/9,,
2016/10/10,,
2016/10/14,一聚争霸 满300-10,J
2016/10/18,,
2016/10/21,,
2016/10/25,聚划算预售团,
2016/10/29,,
2016/11/4,,
2016/11/8,,
2016/11/13,,
2016/11/17,,
2016/11/22,,
2016/11/26,,
2016/12/3,,
2016/12/7,聚划算预热,
2016/12/12,双12聚划算,S
2016/12/16,,
2016/12/23,,
2016/12/27,跑鞋清仓聚划算,J
2016/12/30,,
2017/1/4,,
2017/1/8,年货节300-10,S
2017/1/13,,
2017/1/17,,
2017/1/22,年廿五,
2017/1/26,年廿九,
2017/1/31,年初四,
2017/2/3,年初七,
2017/2/7,年初十一,
2017/2/12,开学季预热,
2017/2/16,,
2017/2/23,,
2017/2/27,足球JHS主题团,J
2017/3/2,钓鱼JHS主题团,J
2017/3/6,女王节300-10,S
2017/3/11,,
2017/3/15,,
2017/3/19,新风尚 预热,
2017/3/20,新风尚 预热,
2017/3/24,跑步节预热,
2017/3/28,铁人三项聚划算,J
2017/4/1,,
2017/4/5,游泳JHS品牌团,J
2017/4/9,母婴出游季预热,
2017/4/10,母婴出游季300-10/户外出游季预热,
2017/4/14,户外出游季300-10,A
2017/4/18,,
2017/4/21,男人节预热,
2017/4/25,男人节,S
2017/4/29,,
2017/5/4,,
2017/5/8,Water水上运动聚划算品牌团,J
2017/5/13,,
2017/5/17,亲子节预热,
2017/5/22,亲子节（儿童节）天猫&JHS,A
2017/5/26,,
2017/5/31,,
2017/6/3,,
2017/6/7,,
2017/6/12,,
2017/6/16,6.18 年中促预热,
2017/6/23,,
2017/6/27,,
2017/6/30,球类品牌聚划算,J
2017/7/2,,
2017/7/6,,
2017/7/11,,
2017/7/15,TMALL 运动会预热,
2017/7/19,,
2017/7/20,,
2017/7/24,,
2017/7/28,,
2017/8/1,,
2017/8/5,,
2017/8/9,,
2017/8/10,,
2017/8/14,Domyos团,J
2017/8/18,Tribord团,J
2017/8/21,,
2017/8/25,新风尚预热,
2017/8/29,,
2017/9/4,,
2017/9/8,99品牌盛典预热,
2017/9/13,,
2017/9/17,,
2017/9/22,Btwin 团,J
2017/9/26,,
2017/10/2,,
2017/10/6,,
2017/10/11,Kalenji 聚划算品牌团,J
2017/10/15,,
2017/10/19,全店聚划算,
2017/10/20,全店聚划算/11.11 预售,
2017/10/24,tribord抓绒季团,J
2017/10/28,,
2017/11/3,,
2017/11/7,,
2017/11/12,,
2017/11/16,,
2017/11/23,,
2017/11/27,火拼周 聚划算&品牌OUTLETS,J
2017/11/30,,
2017/12/4,滑雪季聚划算,J
2017/12/8,,
2017/12/13,Trekking聚划算,J
2017/12/17,,
2017/12/22,,
2017/12/26,,
2017/12/31,,
2018/1/3,,
2018/1/7,,
2018/1/12,,
2018/1/16,,
2018/1/23,年货节预热,
2018/1/27,"年货节 300-10,500-30",S
2018/1/30,,
2018/2/4,,
2018/2/8,年二十三,
2018/2/13,年二十八,
2018/2/17,初二,
2018/2/22,初柒,
2018/2/26,初十一-上新聚划算,J
2018/3/1,初十四,
2018/3/5,女王节预热,预热
2018/3/9,"女王节200-10,300-20,500-30",S
2018/3/10,,
2018/3/14,,
2018/3/18,袜子节,B
2018/3/21,,
2018/3/25,新风尚预热,
2018/3/29,,
2018/4/2,,
2018/4/6,,
2018/4/11,健身团,J
2018/4/15,出游季200-10 300-20 500-30,A
2018/4/19,,
2018/4/20,,
2018/4/24,男人节300-10 500-30,S
2018/4/28,,
2018/5/3,,
2018/5/7,户外出行团,J
2018/5/12,,
2018/5/16,,
2018/5/23,,
2018/5/27,,
2018/5/30,,
2018/6/4,年中促,S+
2018/6/8,年中促,S+
2018/6/13,年中促,S+
2018/6/17,年中促,S+
2018/6/22,,
2018/6/26,,
2018/7/1,,
2018/7/5,,
2018/7/9,铁三2天品牌团,B
2018/7/10,铁三2天品牌团,B
2018/7/14,,
2018/7/18,,
2018/7/21,,
2018/7/25,游泳季3天品牌团,B
2018/7/29,天猫运动会3天品牌团,S
2018/8/2,,
2018/8/6,游泳2天品牌团,B
2018/8/11,,
2018/8/15,,
2018/8/19,天猫新风尚预热,
2018/8/20,天猫新风尚预热,
2018/8/24,,
2018/8/28,健身上新/开学季预热,
2018/9/3,,
2018/9/7,9.9天猫盛典预热,
2018/9/12,,
2018/9/16,秋冬跑步季,B
2018/9/23,出游季,A
2018/9/27,秋冬保暖,B
2018/9/30,,
2018/10/3,,
2018/10/7,,
2018/10/12,,
2018/10/16,跑步品牌团,B
2018/10/23,,
2018/10/27,,
2018/10/30,,
2018/11/2,,
2018/11/6,,
2018/11/11,双十一,S+
2018/11/15,,
2018/11/19,,
2018/11/20,,
2016/1/4,,
2016/1/8,服饰清仓+运动户外年货节 300-10,
2016/1/11,服饰清仓+运动户外年货节 300-10,
2016/1/15,年货节预热,
2016/1/19,年货节 300-10,S
2016/1/20,年货节 300-10,S
2016/1/24,,
2016/1/28,,
2016/2/3,春节不打烊+300-10,年廿五
2016/2/7,春节不打烊+300-10,年三十
2016/2/10,春节不打烊+300-10,年初三
2016/2/14,春节不打烊+300-10,年初七
2016/2/18,,年初十一
2016/2/21,,年初十四
2016/2/25,开学季（预热）,
2016/2/29,开学季（预热）,
2016/3/2,开学季,B
2016/3/6,女王节,S
2016/3/13,,
2016/3/17,,
2016/3/22,新风尚 预热,
2016/3/26,新风尚 300-20活动,S
2016/3/31,,
2016/4/1,,
2016/4/5,,
2016/4/9,出游季预热,
2016/4/12,出游季,A
2016/4/16,,
2016/4/23,男人节预热,
2016/4/27,男人节正式300-22,S
2016/4/30,,
2016/5/4,,
2016/5/8,,
2016/5/11,,
2016/5/15,,
2016/5/19,,
2016/5/20,儿童节预热,
2016/5/24,儿童节300-10,A
2016/5/28,,
2016/6/3,,
2016/6/7,66聚划算无coupon,
2016/6/10,家庭狂欢无coupon,
2016/6/14,男人狂欢无coupon,
2016/6/18,6.18 年中促,S+
2016/6/21,,
2016/6/25,,
2016/6/29,,
2016/7/2,,
2016/7/6,,
2016/7/13,,
2016/7/17,718运动会预热,
2016/7/22,,
2016/7/26,游泳节聚划算,J
2016/7/31,,
2016/8/1,,
2016/8/5,,
2016/8/9,,
2016/8/12,超级运动会预热,
2016/8/16,超级运动会正式,A
2016/8/23,秋冬新风尚预热,
2016/8/27,秋冬新风尚正式,S
2016/8/30,,
2016/9/4,99聚划算预热,
2016/9/8,99聚划算预热,
2016/9/11,,
2016/9/15,国庆狂欢节预热,
2016/9/19,,
2016/9/20,,
2016/9/24,,
2016/9/28,,
2016/10/4,,
2016/10/8,,
2016/10/11,,
2016/10/15,一聚争霸 满300-10,J
2016/10/19,,
2016/10/20,,
2016/10/24,聚划算预售团,
2016/10/28,,
2016/11/1,,
2016/11/5,,
2016/11/9,,
2016/11/12,,
2016/11/16,,
2016/11/23,,
2016/11/27,,
2016/11/30,,
2016/12/2,,
2016/12/6,,
2016/12/13,,
