date,promo_name,promo_level
2016/12/17,,
2016/12/22,,
2016/12/26,跑鞋清仓聚划算,J
2016/12/31,,
2017/1/1,,
2017/1/5,年货节预热,
2017/1/9,年货节300-10,S
2017/1/12,,
2017/1/16,,
2017/1/23,年廿六,
2017/1/27,年三十,
2017/1/30,年初三,
2017/2/2,年初六,
2017/2/6,年初十,
2017/2/13,开学季300-10,A
2017/2/17,,
2017/2/22,,
2017/2/26,足球JHS主题团,J
2017/3/3,女王节预热,
2017/3/7,女王节300-10,S
2017/3/10,,
2017/3/14,,
2017/3/18,自行车聚划算主题团,J
2017/3/21,新风尚,S
2017/3/25,跑步节,A
2017/3/29,,
2017/4/4,,
2017/4/8,母婴出游季预热,
2017/4/11,母婴出游季300-10/户外出游季预热,
2017/4/15,户外出游季300-10,A
2017/4/19,Quechua 聚划算品牌团,J
2017/4/20,Quechua 聚划算品牌团,J
2017/4/24,男人节,S
2017/4/28,,
2017/5/1,,
2017/5/5,,
2017/5/9,Quechua防晒季聚划算品牌团,J
2017/5/12,,
2017/5/16,,
2017/5/23,,
2017/5/27,,
2017/5/30,,
2017/6/2,DOMYOS聚划算品牌团,J
2017/6/6,6.6聚划算,S
2017/6/13,6.18 年中促预热,
2017/6/17,6.18 年中促预热,
2017/6/22,,
2017/6/26,,
2017/7/3,Nabaiji游泳聚划算品牌团,J
2017/7/7,,
2017/7/10,,
2017/7/14,TMALL 运动会预热,
2017/7/18,TMALL 运动会&JHS,S
2017/7/21,,
2017/7/25,,
2017/7/29,,
2017/8/4,,
2017/8/8,quehcua清仓团,J
2017/8/11,,
2017/8/15,Domyos团,J
2017/8/19,Tribord团,J
2017/8/20,,
2017/8/24,,
2017/8/28,新风尚正式,S
2017/9/1,,
2017/9/5,99品牌盛典预热,
2017/9/9,99品牌盛典,S
2017/9/12,,
2017/9/16,quehcua聚划算品牌团,J
2017/9/23,Btwin 团,J
2017/9/27,,
2017/9/30,,
2017/10/3,,
2017/10/7,,
2017/10/10,Kalenji 聚划算品牌团,J
2017/10/14,,
2017/10/18,,
2017/10/21,11.11 预售,
2017/10/25,,
2017/10/29,,
2017/11/2,,
2017/11/6,,
2017/11/13,,
2017/11/17,,
2017/11/22,,
2017/11/26,,
2017/12/1,,
2017/12/5,滑雪季聚划算,J
2017/12/9,,
2017/12/12,,
2017/12/16,,
2017/12/23,,
2017/12/27,,
2017/12/30,暖衣迎新活动300-10,B
2018/1/2,,
2018/1/6,,
2018/1/13,,
2018/1/17,,
2018/1/22,年货节预热,
2018/1/26,"年货节 300-10,500-30",S
2018/1/31,,
2018/2/1,,
2018/2/5,,
2018/2/9,年二十四,
2018/2/12,年二十七,
2018/2/16,初一,
2018/2/23,初八,
2018/2/27,初十二,
2018/3/4,女王节预热,预热
2018/3/8,"女王节200-10,300-20,500-30",S
2018/3/11,,
2018/3/15,,
2018/3/19,户外上新团/袜子节,B
2018/3/20,户外上新团/袜子节,B
2018/3/24,新风尚预热,
2018/3/28,新风尚 300-10 500-30,S
2018/4/3,,
2018/4/7,,
2018/4/10,健身团,J
2018/4/14,出游季预热,
2018/4/18,,
2018/4/21,男人节预热,
2018/4/25,男人节300-10 500-30,S
2018/4/29,,
2018/5/2,,
2018/5/6,户外出行团,J
2018/5/13,,
2018/5/17,儿童节预热,
2018/5/22,儿童节,A
2018/5/26,,
2018/5/31,,
2018/6/1,年中促,S+
2018/6/5,年中促,S+
2018/6/9,年中促,S+
2018/6/12,年中促,S+
2018/6/16,年中促,S+
2018/6/23,,
2018/6/27,,
2018/6/30,,
2018/7/4,,
2018/7/8,,
2018/7/11,,
2018/7/15,,
2018/7/19,,
2018/7/20,,
2018/7/24,游泳季3天品牌团,B
2018/7/28,天猫运动会预热,
2018/8/3,,
2018/8/7,,
2018/8/10,,
2018/8/14,山水大自然,B
2018/8/18,天猫新风尚预热,
2018/8/21,天猫新风尚,S
2018/8/25,,
2018/8/29,开学季预热,
2018/9/2,,
2018/9/6,,
2018/9/13,,
2018/9/17,秋冬跑步季,B
2018/9/22,出游季,A
2018/9/26,,
2018/10/2,,
2018/10/6,足篮球品牌团,B
2018/10/13,,
2018/10/17,,
2018/10/22,,
2018/10/26,,
2018/10/31,,
2018/11/3,,
2018/11/7,,
2016/1/3,,
2016/1/7,服饰清仓+运动户外年货节 300-10,
2016/1/12,服饰清仓+运动户外年货节 300-10,
2016/1/16,年货节预热,
2016/1/23,,
2016/1/27,,
2016/1/30,,年廿一
2016/2/4,春节不打烊+300-10,年廿六
2016/2/8,春节不打烊+300-10,年初一
2016/2/13,春节不打烊+300-10,年初六
2016/2/17,,年初十
2016/2/22,,
2016/2/26,开学季（预热）,
2016/3/1,开学季,B
2016/3/5,女王节（预热）,
2016/3/9,,
2016/3/10,,
2016/3/14,,
2016/3/18,跑步节（预热）,
2016/3/21,跑步节,A
2016/3/25,新风尚 300-20活动,S
2016/3/29,,
2016/4/2,,
2016/4/6,,
2016/4/11,出游季,A
2016/4/15,,
2016/4/19,,
2016/4/20,,
2016/4/24,男人节预热,
2016/4/28,,
2016/5/3,,
2016/5/7,,
2016/5/12,,
2016/5/16,,
2016/5/23,儿童节300-10,A
2016/5/27,儿童节300-10,A
2016/5/30,,
2016/6/4,,
2016/6/8,家庭狂欢无coupon,
2016/6/13,男人狂欢无coupon,
2016/6/17,年中促预热,
2016/6/22,,
2016/6/26,,
2016/7/1,,
2016/7/5,,
2016/7/9,,
2016/7/10,,
2016/7/14,,
2016/7/18,718运动会,S
2016/7/21,,
2016/7/25,游泳节聚划算,J
2016/7/29,,
2016/8/2,,
2016/8/6,,
2016/8/11,,
2016/8/15,超级运动会正式,A
2016/8/19,,
2016/8/20,,
2016/8/24,秋冬新风尚预热,
2016/8/28,,
2016/9/3,,
2016/9/7,99聚划算预热,
2016/9/12,,
2016/9/16,国庆狂欢节300-10,
2016/9/23,,
2016/9/27,,
2016/9/30,,
2016/10/3,,
2016/10/7,,
2016/10/12,,
2016/10/16,,
2016/10/23,,
2016/10/27,,
2016/10/30,,
2016/11/2,,
2016/11/6,,
2016/11/11,"双11 满200-10，300-20,600-50",S+
2016/11/15,,
2016/11/19,,
2016/11/20,,
2016/11/24,,
2016/11/28,,
2016/12/1,,
2016/12/5,,
2016/12/9,聚划算预热,
2016/12/10,聚划算预热,
2016/12/14,,
2016/12/18,,
2016/12/21,Tribord保暖季,J
2016/12/25,,
2016/12/29,,
2017/1/2,,
2017/1/6,年货节预热,
2017/1/11,年货节300-10,S
2017/1/15,,
2017/1/19,年廿二,
2017/1/20,年廿三,
2017/1/24,年廿七,
2017/1/28,年初一,
2017/2/1,年初五,
2017/2/5,年初九,
2017/2/9,年初十三,
2017/2/10,年初十四,
2017/2/14,开学季300-10,A
2017/2/18,,
2017/2/21,,
2017/2/25,足球JHS主题团,J
2017/3/4,女王节预热,
2017/3/8,女王节300-10,S
2017/3/13,,
2017/3/17,自行车聚划算主题团,J
2017/3/22,新风尚,S
2017/3/26,跑步节,A
2017/3/31,,
2017/4/3,,
2017/4/7,,
2017/4/12,母婴出游季300-10/户外出游季预热,
2017/4/16,,
2017/4/23,男人节预热,
2017/4/27,,
2017/4/30,,
2017/5/2,Domyos健身聚划算品牌团,J
2017/5/6,,
2017/5/11,,
2017/5/15,,
2017/5/19,亲子节预热,
2017/5/20,亲子节（儿童节）天猫&JHS,A
2017/5/24,,
2017/5/28,,
2017/6/1,DOMYOS聚划算品牌团,J
2017/6/5,66聚划算预热,
2017/6/9,,
2017/6/10,,
2017/6/14,6.18 年中促预热,
2017/6/18,6.18 年中促,S+
2017/6/21,,
2017/6/25,,
2017/6/29,球类品牌聚划算,J
2017/7/4,Quechua亲子聚划算品牌团/Nabaiji游泳聚划算品牌团,J
2017/7/8,,
2017/7/13,,
2017/7/17,TMALL 运动会&JHS,S
2017/7/22,,
2017/7/26,,
2017/7/31,游泳季,A
2017/8/3,,
2017/8/7,quehcua清仓团,J
2017/8/12,,
2017/8/16,,
2017/8/23,,
2017/8/27,新风尚正式,S
2017/8/30,,
2017/9/2,,
2017/9/6,99品牌盛典预热,
2017/9/11,,
2017/9/15,quehcua聚划算品牌团,J
2017/9/19,kalenji&Domyos聚划算品牌团,J
2017/9/20,kalenji&Domyos聚划算品牌团,J
2017/9/24,Btwin 团,J
2017/9/28,,
2017/10/4,,
2017/10/8,,
2017/10/13,,
2017/10/17,quechua保暖季团,J
2017/10/22,11.11 预售,
2017/10/26,,
2017/10/31,,
2017/11/1,,
2017/11/5,,
2017/11/9,,
2017/11/10,,
2017/11/14,,
2017/11/18,,
2017/11/21,,
2017/11/25,,
2017/11/29,火拼周 聚划算&品牌OUTLETS,J
2017/12/2,,
2017/12/6,,
2017/12/11,,
2017/12/15,,
2017/12/19,Winter sports聚划算,J
2017/12/20,,
2017/12/24,,
2017/12/28,,
2018/1/1,,
2018/1/5,,
2018/1/9,天猫冰雪节 300-10,B
2018/1/10,天猫冰雪节 300-10,B
2018/1/14,hiking 聚划算,J
2018/1/18,,
2018/1/21,年货节预热,
2018/1/25,"年货节 300-10,500-30",S
2018/1/29,,
2018/2/2,,
2018/2/6,年二十一,
2018/2/11,年二十六,
2018/2/15,年三十,
2018/2/19,初四,
2018/2/20,初五,
2018/2/24,初九-上新聚划算,J
2018/2/28,初十三,
2018/3/3,女王节预热,预热
2018/3/7,"女王节200-10,300-20,500-30",S
2018/3/12,,
2018/3/16,,
2018/3/23,新风尚预热,
2018/3/27,新风尚 300-10 500-30,S
2018/3/30,,
2018/4/4,,
2018/4/8,,
2018/4/13,出游季预热,
2018/4/17,出游季200-10 300-20 500-30,A
2018/4/22,男人节预热,
2018/4/26,男人节300-10 500-30,S
2018/5/1,,
2018/5/5,,
2018/5/9,天猫焕新预热,
2018/5/10,天猫焕新,B
2018/5/14,网羽乒团,J
2018/5/18,儿童节预热,
2018/5/21,儿童节,A
2018/5/25,瑜伽团,J
2018/5/29,,
2018/6/2,年中促,S+
2018/6/6,年中促,S+
2018/6/11,年中促,S+
2018/6/15,年中促,S+
2018/6/19,年中促,S+
2018/6/20,年中促,S+
2018/6/24,,
2018/6/28,,
2018/7/3,water2天品牌团,B
2018/7/7,,
2018/7/12,,
2018/7/16,,
2018/7/23,游泳季3天品牌团,B
2018/7/27,天猫运动会预热,
2018/7/30,天猫运动会3天品牌团,S
2018/8/4,,
2018/8/8,,
2018/8/13,山水大自然,B
2018/8/17,,
2018/8/22,天猫新风尚,S
2018/8/26,,
2018/8/31,开学季,A
2018/9/1,开学季,A
2018/9/5,,
2018/9/9,9.9天猫盛典,S
2018/9/10,9.9天猫盛典,S
2018/9/14,,
2018/9/18,,
2018/9/21,,
2018/9/25,,
2018/9/29,,
2018/10/1,,
2018/10/5,足篮球品牌团,B
2018/10/24,秋冬保暖品牌团,B
2018/10/28,,
2018/11/1,,
2018/11/5,,
2018/11/9,,
2018/11/12,,
2018/11/16,,
2018/11/23,,
2018/11/27,,
2018/11/30,,
2018/12/2,,
2019/1/1,,
2019/1/5,,
2019/1/9,,
2019/1/12,,
2019/1/16,"年货节 300-10,500-30",S
2019/1/23,,
2019/1/27,,
2019/1/30,,
2019/2/2,,
2019/2/6,初二,
2019/2/13,健身器械品类日,B
2019/2/17,,
2019/2/22,,
2019/2/26,,
2019/3/3,,
2019/3/7,"女王节200-10,300-20,500-30",S
2019/3/10,,
2019/3/14,,
2019/3/18,跑步节,B
2019/3/21,,
2019/3/25,,
2019/3/29,新风尚,A
2019/4/4,,
2019/4/8,,
2019/4/11,,
2019/4/15,出游季,A
2019/4/19,,
2019/4/20,亲子节,A
2019/4/24,,
2019/4/28,,
2019/5/1,,
2019/5/5,55聚划算大促,A & J+
2019/5/9,,
2019/5/12,,
2019/5/16,,
2019/5/23,,
2019/5/27,,
2019/5/30,,
2019/6/2,,
2019/6/6,,
2019/6/13,,
2019/6/17,,
2019/6/22,,
2018/11/24,,
2018/11/28,,
2018/12/1,,
2019/1/2,,
2019/1/6,,
2019/1/11,,
2019/1/15,"年货节 300-10,500-30",S
2019/1/19,,
2019/1/20,,
2019/1/24,,
2019/1/28,,
2019/2/1,,
2019/2/5,初一,
2019/2/9,初五,
2019/2/10,初六,
2019/2/14,健身器械品类日,B
2019/2/18,开新季,A
2019/2/21,,
2019/2/25,,
2019/3/4,,
2019/3/8,"女王节200-10,300-20,500-30",S
2019/3/13,,
2019/3/17,,
2019/3/22,,
2019/3/26,,
2019/3/31,,
2019/4/3,,
2019/4/7,,
2019/4/12,,
2019/4/16,,
2019/4/23,,
2019/4/27,,
2019/4/30,,
2019/5/2,,
2019/5/6,,
2019/5/11,,
2019/5/15,,
2019/5/19,520,A
2019/5/20,520,A
2019/5/24,,
2019/5/28,,
2019/6/1,,
2019/6/5,,
2019/6/9,,
2019/6/10,,
2019/6/14,,
2019/6/18,618,S+
2019/6/21,,
2018/11/10,,
2018/11/14,,
2018/11/18,,
2018/11/21,,
2018/11/25,羽绒季聚划算,B
2018/11/29,,
2019/1/3,,
2019/1/7,,
2019/1/10,,
2019/1/14,"年货节 300-10,500-30",S
2019/1/18,,
2019/1/21,,
2019/1/25,,
2019/1/29,,
2019/2/4,年三十,
2019/2/8,初四,
2019/2/11,初柒,
2019/2/15,,
2019/2/19,开新季,A
2019/2/20,开新季,A
2019/2/24,,
2019/2/28,,
2019/3/1,,
2019/3/5,,
2019/3/9,"女王节200-10,300-20,500-30",S
2019/3/12,,
2019/3/16,,
2019/3/23,,
2019/3/27,新风尚,A
2019/3/30,,
2019/4/2,,
2019/4/6,,
2019/4/13,出游季,A
2019/4/17,,
2019/4/22,亲子节,A
2019/4/26,,
2019/5/3,,
2019/5/7,,
2019/5/10,,
2019/5/14,,
2019/5/18,,
2019/5/21,520,A
2019/5/25,,
2019/5/29,,
2019/6/4,,
2019/6/8,,
2019/6/11,,
2019/6/15,,
2019/6/19,,
2019/6/20,,
2019/6/24,,
2018/10/9,秋冬运动尚新,B
2018/10/10,理想生活亲子趴,B
2018/10/14,,
2018/10/18,,
2018/10/21,,
2018/10/25,秋冬保暖品牌团,B
2018/10/29,,
2018/11/4,,
2018/11/8,,
2018/11/13,,
2018/11/17,,
2018/11/22,,
2018/11/26,羽绒季聚划算,B
2019/1/4,,
2019/1/8,,
2019/1/13,"年货节 300-10,500-30",S
2019/1/17,"年货节 300-10,500-30",S
2019/1/22,,
2019/1/26,,
2019/1/31,,
2019/2/3,,
2019/2/7,初三,
2019/2/12,健身器械品类日,B
2019/2/16,,
2019/2/23,,
2019/2/27,,
2019/3/2,,
2019/3/6,,
2019/3/11,,
2019/3/15,,
2019/3/19,跑步节,B
2019/3/20,跑步节,B
2019/3/24,,
2019/3/28,新风尚,A
2019/4/1,,
2019/4/5,,
2019/4/9,,
2019/4/10,,
2019/4/14,出游季,A
2019/4/18,,
2019/4/21,亲子节,A
2019/4/25,,
2019/4/29,,
2019/5/4,,
2019/5/8,,
2019/5/13,,
2019/5/17,,
2019/5/22,,
2019/5/26,,
2019/5/31,,
2019/6/3,,
2019/6/7,,
2019/6/12,,
2019/6/16,,
2019/6/23,,
